IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE,DOWNLOAD_INDICATOR,UPLOAD_INDICATOR,PROVIDER
181.140.97.128,7/31/2021 19:06,GMT,22.31,2.5,170,Madrid,5000,multi,1,muy nublado,20,9,wifi,0.371833333,0.5,Tigo
181.140.97.128,7/31/2021 19:04,GMT,21.5,7.56,23,Bogotá,150,multi,1,muy nublado,20,9,wifi,0.358333333,1.512,Tigo
181.140.97.128,7/31/2021 19:00,GMT,33.21,7.41,25,Medellin,0,multi,1,muy nublado,20,9,wifi,0.5535,1.482,Tigo
181.140.97.128,7/31/2021 14:07,GMT,45.18,2.62,158,Madrid,5000,multi,1,parcialmente nublado,26,9,wifi,0.753,0.524,Tigo
181.140.97.128,7/31/2021 14:05,GMT,61.5,8.32,20,Bogotá,150,multi,1,parcialmente nublado,26,9,wifi,1.025,1.664,Tigo
181.140.97.128,7/31/2021 14:01,GMT,63.01,7.26,26,Medellin,0,multi,1,parcialmente nublado,26,9,wifi,1.050166667,1.452,Tigo
181.140.97.128,7/31/2021 9:07,GMT,2.95,1.86,156,Madrid,5000,multi,1,parcialmente nublado,24,9,wifi,0.049166667,0.372,Tigo
181.140.97.128,7/31/2021 9:04,GMT,63.3,8.22,22,Bogotá,150,multi,1,parcialmente nublado,24,9,wifi,1.055,1.644,Tigo
181.140.97.128,7/31/2021 9:00,GMT,63.14,7.15,27,Medellin,0,multi,1,parcialmente nublado,24,9,wifi,1.052333333,1.43,Tigo
181.140.97.128,7/30/2021 19:07,GMT,42.6,2.65,159,Madrid,5000,multi,1,muy nublado,21,9,wifi,0.71,0.53,Tigo
181.140.97.128,7/30/2021 19:04,GMT,60.17,8.21,22,Bogotá,150,multi,1,muy nublado,21,9,wifi,1.002833333,1.642,Tigo
181.140.97.128,7/30/2021 19:02,GMT,48.76,7.66,26,Medellin,0,multi,1,muy nublado,21,9,wifi,0.812666667,1.532,Tigo
181.140.97.128,7/30/2021 14:06,GMT,18.9,2.7,167,Madrid,5000,multi,1,muy nublado,27,8,wifi,0.315,0.54,Tigo
181.140.97.128,7/30/2021 14:03,GMT,46,7.86,21,Bogotá,150,multi,1,muy nublado,27,8,wifi,0.766666667,1.572,Tigo
181.140.97.128,7/30/2021 14:00,GMT,45.82,7.74,26,Medellin,0,multi,1,muy nublado,27,8,wifi,0.763666667,1.548,Tigo
