IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES,CONNECTION_MODE,SERVER_COUNT,WEATHER,TEMPERATURE,CONNECTED_DEVICES,CONNECTION_TYPE
191.88.72.92,07/27/2021 18:56,GMT,29.00,7.12,25,Bogotá,150,multi,1,Nublado ,20,2,Wifi
191.88.72.92,07/27/2021 18:55,GMT,31.20,7.09,14,Medellín,0,multi,1,Nublado ,20,2,Wifi
191.88.72.92,07/27/2021 14:12,GMT,2.56,6.68,172,Madrid,5000,multi,1,Nublado ,24,1,Wifi
191.88.72.92,07/27/2021 14:11,GMT,12.42,5.49,23,Bogotá,150,multi,1,Nublado ,24,1,Wifi
191.88.72.92,07/27/2021 14:10,GMT,19.69,7.18,11,Medellín,0,multi,4,Nublado ,24,1,Wifi
191.88.72.92,07/27/2021 14:06,GMT,15.73,5.01,177,Madrid,5000,multi,1,Nublado ,23,1,Cable
191.88.72.92,07/27/2021 14:04,GMT,25.58,6.56,19,Bogotá,150,multi,1,Nublado ,23,1,Cable
191.88.72.92,07/27/2021 14:03,GMT,23.96,7.20,10,Medellín,0,multi,4,Nublado ,23,1,Cable
191.88.72.92,07/26/2021 19:01,GMT,31.42,6.29,27,Bogotá,150,multi,1,Lluvia,23,2,Cable
191.88.72.92,07/26/2021 19:01,GMT,31.42,4.63,11,Medellín,0,multi,4,Lluvia,23,2,Cable
191.88.72.92,07/26/2021 14:20,GMT,31.35,7.23,22,Bogotá,150,multi,1,Nublado ,25,2,Cable
191.88.72.92,07/26/2021 14:19,GMT,29.58,7.38,10,Medellín,0,multi,4,Nublado ,25,2,Cable
